i:3 dp[i]:153 
i:229 dp[i]:8305395598694273361 
i:230 dp[i]:5544517482309043889 
i:231 dp[i]:-6437817827103542839 
i:232 dp[i]:-5543096335497139735 
i:233 dp[i]:-3117735498552630143 
i:234 dp[i]:2864328822907400033 
i:235 dp[i]:-4106313233289554055 
i:236 dp[i]:-2028461915089226471 
i:237 dp[i]:8473515031210395825 
i:238 dp[i]:5981328607473805585 
i:239 dp[i]:-5465120313527286231 
i:240 dp[i]:-4313683104358512311 
i:241 dp[i]:-7872892353087459871 
i:242 dp[i]:1722107740678005697 
i:243 dp[i]:2743038705769082329 
i:244 dp[i]:-3887306464017426823 
i:245 dp[i]:1542943996162556945 
i:246 dp[i]:-3133827365276348559 
i:247 dp[i]:7125453356479512201 
i:248 dp[i]:-6669427111275983703 
i:249 dp[i]:5783479425985411905 
i:250 dp[i]:-1264710512653362143 
i:251 dp[i]:-4636155122460317639 
i:252 dp[i]:328160783827442649 
i:253 dp[i]:-1619363187313900687 
i:254 dp[i]:569426817786706385 
i:255 dp[i]:-8047625795416941847 
i:256 dp[i]:864567664702075913 
i:257 dp[i]:-1496280267096126303 
i:258 dp[i]:-6492013033590597503 
i:259 dp[i]:7401587885136217753 
i:260 dp[i]:9018945995272291641 
i:261 dp[i]:-1978762167445829935 
i:262 dp[i]:-3540334678974601167 
i:263 dp[i]:1358755079890639689 
i:264 dp[i]:8634828602615480169 
i:265 dp[i]:-6642929598564408831 
i:266 dp[i]:1801574909348042977 
i:267 dp[i]:3376078810993166585 
i:268 dp[i]:-14993152275311975 
i:269 dp[i]:4579104838028660273 
i:270 dp[i]:-35752159060141423 
i:271 dp[i]:4814386451927170985 
i:272 dp[i]:2157885853900385993 
i:273 dp[i]:387522273424178017 
i:274 dp[i]:7625378526306737473 
i:275 dp[i]:-150038112037425319 
i:276 dp[i]:-4900518348643154951 
i:277 dp[i]:-60086961164756591 
i:278 dp[i]:-759896754508934927 
i:279 dp[i]:-5177869618600130551 
i:280 dp[i]:6868982516252082729 
i:281 dp[i]:3492695893051758785 
i:282 dp[i]:-1306194304528964191 
i:283 dp[i]:-7499760610879440455 
i:284 dp[i]:-3511682171681957543 
i:285 dp[i]:-7830768578811811599 
i:286 dp[i]:8475828018444421969 
i:287 dp[i]:800712092637033577 
i:288 dp[i]:8395484980396800393 
i:289 dp[i]:-187033767509755359 
i:290 dp[i]:1698663669936812545 
i:291 dp[i]:-2051928201568720871 
i:292 dp[i]:-5001892514182851911 
i:293 dp[i]:9210526983777549393 
i:294 dp[i]:1138650993286760881 
i:295 dp[i]:78511705597707465 
i:296 dp[i]:1995072819189798121 
i:297 dp[i]:-3663837104156778623 
i:298 dp[i]:-3896556899972545951 
i:299 dp[i]:5338357288861760121 
i:300 dp[i]:8921491441934512153 
i:301 dp[i]:-8703427797450304591 
i:302 dp[i]:-535609197815051247 
i:303 dp[i]:-2860665136732702423 
i:304 dp[i]:3595560947073700937 
i:305 dp[i]:-2112511667258062623 
i:306 dp[i]:2953468750668191425 
i:307 dp[i]:-24807206912184103 
i:308 dp[i]:-7607000767901240967 
i:309 dp[i]:-5143665818398511343 
i:310 dp[i]:-831291323507682703 
i:311 dp[i]:-3282319606921997943 
i:312 dp[i]:4657557070948808617 
i:313 dp[i]:-5738469697127319999 
i:314 dp[i]:-5090649198993379551 
i:315 dp[i]:8458363717543660345 
i:316 dp[i]:-3547304864426436903 
i:317 dp[i]:-7679942088889987471 
i:318 dp[i]:-8229963744723346223 
i:319 dp[i]:-5980810845565612567 
i:320 dp[i]:1815993111487086345 
i:321 dp[i]:-6440356866876430431 
i:322 dp[i]:-4975775312479532159 
i:323 dp[i]:1458918282181544345 
i:324 dp[i]:-5925744423902420935 
i:325 dp[i]:4497246670895673809 
i:326 dp[i]:-4263068790265156815 
i:327 dp[i]:9117214056700948041 
i:328 dp[i]:7756535791618075241 
i:329 dp[i]:-918948222731412223 
i:330 dp[i]:5427585859844434913 
i:331 dp[i]:1864677998598007801 
i:332 dp[i]:7290612385955745177 
i:333 dp[i]:-6538759038743258831 
i:334 dp[i]:4351438564103716241 
i:335 dp[i]:3765685578011751081 
i:336 dp[i]:1747394309957368265 
i:337 dp[i]:-5612641043098216863 
i:338 dp[i]:2674933300691947585 
i:339 dp[i]:-5091382390248476071 
i:340 dp[i]:-7068082337528815879 
i:341 dp[i]:1379333079787062417 
i:342 dp[i]:6375435258971427825 
i:343 dp[i]:-6580002272453616887 
i:344 dp[i]:-697594474523939543 
i:345 dp[i]:885557922064978881 
i:346 dp[i]:-898363579330627423 
i:347 dp[i]:-2023533391910150983 
i:348 dp[i]:-2712813445321796519 
i:349 dp[i]:8650493316077892593 
i:350 dp[i]:-784316233807221167 
i:351 dp[i]:-6904721095659296919 
i:352 dp[i]:-6579537110746954615 
i:353 dp[i]:-4405712672214837983 
i:354 dp[i]:8107123062356960513 
i:355 dp[i]:1815466066111392537 
i:356 dp[i]:3597347035794042297 
i:357 dp[i]:1546785294681450321 
i:358 dp[i]:-4692435032039928655 
i:359 dp[i]:-5401027455412529207 
i:360 dp[i]:8731561763589144553 
i:361 dp[i]:3293953350224681601 
i:362 dp[i]:6058664790217594209 
i:363 dp[i]:-939981931629470343 
i:364 dp[i]:-6166106937751917799 
i:365 dp[i]:1664361619845815985 
i:366 dp[i]:-4873967417212014831 
i:367 dp[i]:-8616931414254703575 
i:368 dp[i]:4174059944142593865 
i:369 dp[i]:-3374245896424659999 
i:370 dp[i]:2628854035011570113 
i:371 dp[i]:-2142455568375745575 
i:372 dp[i]:-1232222851050861447 
i:373 dp[i]:3832306643519740433 
i:374 dp[i]:-6198436307207809679 
i:375 dp[i]:3608374331798725769 
i:376 dp[i]:-7283669253459909975 
i:377 dp[i]:-1714504562402856639 
i:378 dp[i]:3305281934128038433 
i:379 dp[i]:-3180408312061497799 
i:380 dp[i]:-1235519213574352423 
i:381 dp[i]:928482824908544369 
i:382 dp[i]:7513906729174089681 
i:383 dp[i]:-9156220761364102935 
i:384 dp[i]:-1490926291428652535 
i:385 dp[i]:-3711307426934537567 
i:386 dp[i]:-7326565044046512511 
i:387 dp[i]:-2942908948354036583 
i:388 dp[i]:-5878516294682363079 
i:389 dp[i]:-2884496132148355887 
i:390 dp[i]:-8685200931789607375 
i:391 dp[i]:-7767421398381969079 
i:392 dp[i]:-5648333505049848471 
i:393 dp[i]:-2462323359507458047 
i:394 dp[i]:-8760560595150143775 
i:395 dp[i]:3743853778829823737 
i:396 dp[i]:-4661457505495218023 
i:397 dp[i]:-1215746357861342159 
i:398 dp[i]:4855659498408878225 
i:399 dp[i]:1741239134062503337 
i:400 dp[i]:-3564747182504491831 
i:401 dp[i]:703667750155170145 
i:402 dp[i]:3760317517680083777 
i:403 dp[i]:1080779815403566425 
i:404 dp[i]:7581707979155929593 
i:405 dp[i]:7548478454774837137 
i:406 dp[i]:2002440171988408049 
i:407 dp[i]:-4973935077167534583 
i:408 dp[i]:3958893097671809065 
i:409 dp[i]:-4400293503369818431 
i:410 dp[i]:-2352024123487925343 
i:411 dp[i]:-8152022658484781127 
i:412 dp[i]:6957668731859734361 
i:413 dp[i]:-6525751004945924367 
i:414 dp[i]:-8997086427786997423 
i:415 dp[i]:7462829578183334505 
i:416 dp[i]:-8255251768533430391 
i:417 dp[i]:6482982916078055457 
i:418 dp[i]:-8774800880469616639 
i:419 dp[i]:-1422454121541800423 
i:420 dp[i]:-8884828281257015111 
i:421 dp[i]:5598417794199540305 
i:422 dp[i]:-6407674164643967055 
i:423 dp[i]:-6110451714177979703 
i:424 dp[i]:-8108733464892986647 
i:425 dp[i]:8340163919816250753 
i:426 dp[i]:3884872594829289569 
i:427 dp[i]:-1789757670061686663 
i:428 dp[i]:1195826011905369625 
i:429 dp[i]:-480515001250846287 
i:430 dp[i]:-3334766114877763055 
i:431 dp[i]:-1023659826549858519 
i:432 dp[i]:4938724963348474441 
i:433 dp[i]:-475535116092981535 
i:434 dp[i]:-4098179084132762431 
i:435 dp[i]:-7205661857957824807 
i:436 dp[i]:3827391398328838009 
i:437 dp[i]:-8869893533678336751 
i:438 dp[i]:757189271607597169 
i:439 dp[i]:-8468035411640584311 
i:440 dp[i]:-5315146072400425559 
i:441 dp[i]:-7734357773142397887 
i:442 dp[i]:-594415172842351327 
i:443 dp[i]:579580772139847993 
i:444 dp[i]:-4893870303955497767 
i:445 dp[i]:7495558207386952817 
i:446 dp[i]:4245311702461227729 
i:447 dp[i]:-4683903196276263959 
i:448 dp[i]:-8917180738580769527 
